Instructor	Average Rating	Total number of rating	Key Phrases
Tim Hoffman	4.18	11	java class<>Professor Hoffman<>cool guy<>pretty cool professor<>basic variations<>good guy<>outstanding professor<>lot of industry experience<>basic stuff<>great teaching professor<>funny guy<>decent professor overall<>Java code<>lot of interesting programs<>midterm somewhat<>little things<>learning technical skills<>lot of extra credit<>I don<>Final exam<>interesting stories<>computer science<>good analogies<>pay attention<>helpful w<>s hilarious<>notes online<>opposite opinion<>relevant examples<>details far<>hardest midterm<>great stories<>Effective Programming<>mandatory attendance<>CS background<>kinda humorous
Mark Mentzer	4.45	11	Design Drawing<>helpful teacher<>inspiring teacher<>enthusiastic teacher I<>CMU Design department<>Great teacher<>better designer<>nice guy<>better person<>best mentors<>long time<>disorganized classes<>talented artist<>notch professor<>nicest prof<>perfect team<>passion shows
Laura Lee	3.0	11	Laura Lee<>absolute professional<>selfish woman<>Great class<>quality of teaching<>slave driver<>career oriented women
Clayton Merrell	3.73	11	painting assignments didnt<>good knowledge of painting<>immense skill<>expanding students<>hot teacher<>great honor<>fair grader<>hot hands<>lot of bad work<>knowledge of craftsmanship<>strong leadership<>litter tougher<>soothing voice<>talented artist<>s great<>greatest professors<>I wouldn<>extremely knowledgable<>themese of destruction<>awesome teacher<>personal schtick<>paintings of clouds
Gary Warnock	3.32	11	uses class<>outside of class<>honors chem class<>standard chem class<>fun teacher<>great teacher<>interesting teacher<>best teacher<>great accent<>style of teaching<>zany explosive demos<>kind teaching<>self study<>advanced knowledge<>greatest teachers<>lot of learning<>office hours<>cool accent<>combination of explosions
Elaine King	2.36	11	required class<>s extremely boring<>good class<>monotonous way<>repetitive commentary<>nice nap<>Elaine Baby<>mandatory visiting artist lectures<>gramatically-understandable sentences<>Contemporary issues forum<>innumerable slides<>classroom discussion<>zip disc<>attendance credit<>incoherent textbook
Robert Swendsen	3.68	11	class grade<>outside of class<>t curve<>freshman physics<>book didn<>t score<>CMU physics<>final grade<>Great Professor<>good professor<>helpful outside<>physics major<>best professor<>worst professor I<>great teacher<>good teacher<>freshman year<>biggest piece of trash I<>incomprehensible powerpoint slides<>excellent teaching skils<>power point<>lecture helps<>grades improved<>frown face<>budding spark of<>ll bend
Edward Barr	4.59	11	best class I<>Strategic Writing class<>class thinking I wouldn<>great professor<>great insight<>great pleasure<>Great fellow<>round great guy<>great job of giving students<>great job of getting students<>professional introductions<>best Professors I<>professional communication<>professional knowledge<>wrong understandings of professional writing<>core course<>Ed Barr<>Professor Barr<>real master<>Excellent course<>employing real-life examples<>simpler ways of effective communicating<>delicate sponsorship issue<>fascinating guy<>type writing assignments<>direct email<>way of teaching<>wrong concepts<>career aspirations<>stabbing SOB<>truely sensational
Alessandro Acquisti	4.59	11	great professor<>Brilliant Professor<>great guy<>skilled professor<>Good professor<>best professor I<>Econ class<>concepts of Econ<>Econ course<>great person overall<>Great teaching style<>Gives tough tests<>s I<>high grades<>dry theoretical subject<>humble attitude<>aura of intelligence<>stellar teaching skills<>better person<>lots of readings
Klaus Sutner	4.2	10	great attitude<>great things<>Extremely smart<>Great homework assignments<>straight man Danny Sleator<>extremely knowledgable<>Extrememly helpful<>comic relief<>interesting lecture style<>Extrememly smart<>Eats freshmen<>Arnold Schwarzenegger<>Super cool guy<>Fantastic class<>algebraic structures<>graduate school<>best professor<>influential prof<>s helpful<>martial arts master
Mary Weidner	4.35	10	great teacher<>best drawing teacher<>class assignments<>Excellent drawing teacher<>Excellent teacher<>frequent assignments<>Homework assignments<>classroom assignments<>best professors<>great instruction<>drawing professors<>Mary cares<>Great experience<>drawing instruction<>outside HW<>best teachers<>individual growth<>excellent recommendations<>Gives great crits<>past years<>interested person<>art major<>comfort zone<>outside projects<>HW load<>ADV Painting Studios
Jane Bernstein	3.5	10	writing prompts<>s amazing<>Unclear deadlines<>grading criteria<>awesome creative writing professor<>CMU course<>final paper duedate<>Choice of reading material<>relatable English faculty<>Star Wars<>BS professors<>wide margin<>office hours<>Excellent teacher<>daily readings<>half-hearted effort<>i didn<>blatant favoritism<>lot of sense<>academic caliber
Stephen Totter	4.4	10	wonderful teacher<>amzing teacher<>excellent teacher<>good teacher<>best voice teacher<>audition tips<>vocal technique<>great guy
Gordon Rule	4.85	10	clear professor<>amazing teacher<>s patient<>hardworking professor<>Wonderful Biochemistry professor<>thoughtful advice<>amazing research<>bunch of times
Chris Telmer	2.1	10	difficult class<>s Financial Economics class<>class credit<>s fairly<>Pop quizzes<>Professor Telmer<>language of finance<>easy professor<>hard exams<>best courses<>post grades<>problem sets<>lot of work<>attendance purposes<>significant curve<>worded question
Rima Gandlin	1.65	10	t stand<>t answer<>t care<>class fun<>freaking class<>word isnt<>TA isnt<>lot of points<>worst teacher<>ruined math<>test questions<>s saying<>rediculously inept<>small mistakes
Dee Briggs	3.55	10	Dee hasn<>public Dee Briggs<>BEST PROFESSORS<>Carnegie Mellon School of Architecture<>design school<>t handle<>lot of time<>better architecture<>s bitter<>s understandable<>tough field<>Carnegie Mellon posseses<>incredible impact<>summer i<>great sense of humor<>nice person<>stressful environment<>new admissions process<>Exremely rash<>negative comments<>hard teacher<>AMAZING PERSON<>student populus
Jan Vairo	4.5	10	best professor<>Italian class<>best class<>Professor Vairo<>person person<>fun class<>favorite professor<>italian II<>real college Professor<>worst teacher<>CMU hands
Betsy Lawrence	4.6	10	Wonderful teacher<>Great teacher<>dedicated teacher<>Wonderful person<>fantastic teacher<>amazing teacher<>Great person<>great voice<>voice teachers<>great things<>beautiful person<>musical theater<>vocal chords<>ex-tention division
Agoston Pisztora	4.3	10	Professor Pisztora<>long homework<>handwritten lecture notes<>best professor<>better math professors<>Carnegie Mellon<>equivalent probability class<>great sense of humor<>nice teacher<>best people<>boring lecturer<>Matrix Theory<>good mathematician<>Illegible handwriting
George Klein	3.1	10	s friendly<>s enthusiastic<>class fun<>s saying<>personal level<>Kept class interesting<>Tests weren<>lecture aren<>practice exams<>cool accent<>office hours<>little quizzes<>sorta boring<>funny guy<>Amazing teacher
Nico Slate	4.7	10	Professor Slate<>awesome guy<>great guy<>Great professor<>nicest guy<>Easygoing guy<>best professor I<>history class<>World History<>Amazing professor<>Slate Wins<>Awesome teacher<>political assumptions<>ve disliked history<>grade school<>good grade<>best Mortal Kombat voice yell<>ll miss<>historical rhetoric<>role model of<>Civil Rights<>TA Kaaz<>Flawless Victory<>office hours<>infectious passion
Onur Kesten	3.9	10	best professor I<>great professor<>econ dept doesn<>standard econ stuff<>horrible preparation<>best professors I<>Excellent handouts<>Lecture notes<>awesome professor<>practice final solutions<>lowest common denominator<>lectures pretty boring<>reclarify confusing terms<>excellent teacher<>Unlike Carol Goldburg<>ridiculous grader<>hw assignments<>good lecturer<>s willing<>rote manner<>good heart<>Kesten rocks<>teaching award<>cool material
Eric Anderson	3.06	9	semester of class<>average class<>s great<>s willing<>s okay<>feedback late<>communication skills<>great teacher<>hang of teaching<>project goals<>confusing way<>great guy<>technical skill<>office hours<>basic introduction
Terrance Hayes	3.94	9	brilliant poet<>s brilliant<>great poet<>s insightful<>class discussions<>hot stuff<>Looks sharp
Steven Rudich	3.61	9	awesome course<>fun guy<>amazing TAs<>best teacher<>good problems
Karen Stump	3.78	9	Karen Stump<>s door<>good class<>grad students<>lab reports<>nice person<>Stump Rocks<>Karen plays favorites<>lot of work<>spurious results<>free candy<>good grade<>nicest people<>Family Guy<>barrels of snacks<>strong biases<>hard class<>amazing person<>chem jokes
Gerald Costanzo	4.78	9	intro class<>best teachers<>liberal school<>levels of workshop
Sridhar Seetharaman	4.44	9	good teacher<>MSE curriculum<>good job<>CMU MSE<>Great teacher<>MSE professor<>homework assignments<>Makes stuff<>number of Profs
Yueming Yu	4.28	9	native language<>language class<>non native speakers<>language teacher<>culture class<>wannabe gangsta AZN frat boys<>personal level<>good teacher<>phony AZN free<>Great teacher<>Awesome professor<>negative comments<>strict attendence<>boredom level<>s progress<>kind CMU<>nice woman
Reinhardt Schumacher	3.61	9	good teacher<>academic class<>exciting teacher<>lot of personality<>TA available<>genuine concern<>s Cat<>online notes<>ample time<>I don<>Rutheford scattering
Robert Page	3.89	9	unethical teacher<>choral music<>demanding professor<>ethics of teching vocal music<>lots of sparkle<>vocal faculty<>tremendous influence<>bigger impact<>magnificent musician<>years of excellence<>barky exterior<>excellent conductor<>political issues<>psych major
David Kravitz	4.5	9	David Kravitz<>Dave Kravitz<>great guy<>freaking man<>good professor<>lecture professor<>great sense of humor<>meteors falling<>facebook group<>strange emails
Jeffrey Carroll	1.44	9	s class<>s nice<>lot of work<>Carroll class<>teaching doesn<>heart attack<>CS teachers<>somputer theory<>Java itsnelf<>course material<>disorganized professor<>Nice guy
Frederick Lanni	3.61	9	good professor<>awful professor<>great professor<>entire class<>crazy tangents<>text book<>nice guy<>bio professors<>terrible communicator<>Honest grade
Lynne Pastor	2.94	9	s asinine policy<>stupid grading policy<>s doesn<>opposite way<>ton of ambiguity speckled<>practical way<>lot of money<>nice lady<>latest financial news<>office hours<>acct background<>bad teacher<>accounting classes<>decent stories<>professor of principle<>good professor<>pretty nice person
Kai Gutschow	3.22	9	great job<>great material<>great guy<>art-vs-kai attitude<>history course<>best profs<>cmu arch<>strong foundation<>Good course<>history classes<>hard worker<>committed pedagogue<>pretty pointless presence<>class professor<>energetic teacher
Steve Roehrig	3.0	9	lecture slides<>bad professor<>Professor Roehrig<>constant typos<>programming language<>Best teacher<>s great<>Final exam<>assignment requirements<>Homework requirement<>bit of time<>slow response<>bad attitude<>I didn<>sort of helpful
David Boevers	4.0	9	David Boevers<>wealth of professional knowledge<>great lecturer<>professional standards<>pre-professional training program<>wealth of knowledge<>t fair<>monotone inflection<>fair teacher<>real world<>follow manner<>critical feedback<>s college<>amazing teacher<>I wasn<>monotone voice<>vindictive end<>absolute favorite professors<>hearing distance
Ananda Gunawardena	2.94	9	class discussion<>class participation<>good class<>Professor Guna<>lectures useless<>absolute worst professor<>great teaching style<>explaining concepts<>Worst teacher<>clever way<>highest marks<>s course
Dave Feinberg	4.89	9	Professor Feinberg<>Fantastic professor<>knowledgeable teacher<>inspiring professor Dave<>HW assignments<>Coolest Professor<>AP Comp Sci teacher<>witty poem<>past experience<>pretty cool guy<>programming knowledge<>Snake game<>program games<>computer robots<>nerdy way<>lot of skills<>kind of guy<>better person<>laser tagging<>Square Root<>high school<>s awesome<>software industry
David Anderson	4.7	9	office hours<>outside time commitment<>lab reports<>Experimental physics<>inspiring British father<>Great professor<>Fine professor<>Lot of lectures<>s hilarious<>Ayyy cool teacher<>hour block<>good guy<>extra help<>EASY grading<>class period
John Minden	4.3	9	great class<>great lecturer<>S HONORS MODERN BIOLOGY<>REGULAR MODERN BIOLOGY<>Professor Minden<>easy class<>Kind of hard class<>good way<>amazing lectures<>awesome guy<>s rare<>Hard tests<>Mod Bio Honors section<>good notes<>enthusiastic engaging lecturer<>true bio lover<>good teacher overall<>AP Bio rehash<>nice guy<>material daily<>better scientist<>complex topics<>renewed passion<>fair professor<>set goal<>close attention
Lori Holt	4.0	9	Interesting class<>outside of class<>excellent teacher-<>material isn<>slowest teacher i<>t need<>best prof I<>lot of reading<>attractiveness inside<>l notes<>answering questions<>fair grading system<>s horrible<>psych course
Mark Baskinger	3.5	9	great teacher<>Mark likes<>great sense of humor<>great professor<>good balance of professional<>s awesome<>coolest teacher<>excellent source<>specific feedback<>cool sunglasses icon<>good design fun<>honest effort<>class chuckle<>skilled drawer<>crafted drawings
Peter Andrews	3.94	8	Math Logic<>boring class<>mathematical logic<>class basic logic<>math department<>bunch of lowly<>year grad students<>material isn<>grad credit<>kind of dull<>good TA<>extra work<>kinda boring<>Prof Andrews<>s thorough<>random theorems<>best courses
Richard Statman	2.88	8	homework material<>concepts of math<>previous quizzes<>Somewhat boring<>horrible lectures<>Useless lecture<>easy- grade
Robert F. Sekerka	2.38	8	Disrespectful of students<>lot of time<>Useless class<>required course<>Harsh curve<>beauty of stat<>subject matter<>certain concepts<>droning derivations<>I didn<>good dude
Tom Ferguson	3.38	8	challenging material<>fair tests - i<>Makes challenging problem sets<>structured style<>teaching style<>survey course<>lot of people<>excellent professor<>stupid mini quizes<>GenEd requirement<>different colleges<>I don
Sharon Carver	4.0	8	class mind-bendingly monotonous<>Child Development - best class<>course framework<>big lecture course<>favorite professors<>teaching methods<>nicest professors<>assignment questions<>higher-level courses<>extra credit<>subject material<>classes general requirements<>fair grader<>huge effort
Rebecca May	5.0	8	best class<>s classes<>favorite book<>amazing prof I<>great person<>Awesome course<>teaching shakespeare<>kinds of ass
Yoed Rabin	2.75	8	class wasn<>making class<>feared MechE class<>t fun<>week guranteed<>strict professor<>Fantastic professor<>hard grader<>final year<>drill sergeant mentality<>toughest classes<>intimidating guy<>wrong profession<>additional help<>tough time<>Heat transfer<>Unfair grader<>grading rules<>homework didn<>mean guy<>means necessary<>various aspects<>conducive environment
Lisa Porter	2.19	8	communicating content<>practice tests<>Real test<>identical topics<>good teacher<>Prof Porter<>lectures aren<>nice person<>intro class
Luis Von Ahn	4.25	8	awesome class<>entertaining lecturer<>brilliant lecturer<>amazing class<>Luis challenges students<>awesome professor<>t care<>particular class<>Von Ahn<>Poor professor  teacher<>crush script<>marshmellow launcher<>majors straight<>clear explainations<>short time<>Brilliant guy<>CS wasn<>humorous material<>fun things
Ting Chang	2.0	8	I didn<>worst teachers I<>Professor Chang<>th e middle<>interesting readings<>s nice<>class period<>Prof Chang<>lovely voice
Sara Majetich	2.38	8	track of attendance<>students names<>Prof demands<>Lecture material<>midterm exams<>Class overall<>homework problems<>middle school teacher<>monotone voice<>Tests questions<>reviewers note
Ricky Law	4.13	8	Good class<>intro global history class<>class ridiculous<>history fun<>Makes history<>Film Class b<>Super engaging lecturer<>c genocide isn<>Tricky Ricky Wai-Kei Law<>good TA<>lot of reading<>good grade<>great lecturer<>BAD RICKY<>Tom Cruise<>cup of tea
Silvia Borzutzky	3.7	8	class discussions<>useless class<>lot of reading<>lots of reading<>phenomenal instructor - best I<>course material<>clean delivery of material<>good grade<>international policies<>opinions verbatim<>little boring<>good writer<>poor analysis<>incredible professor<>required core courses<>visible improvement<>great Professor<>subject area
James Cummings	3.3	8	Professor Cummings<>Prof Cummings<>teaching of Commutative Algebra<>Math Studies<>abstract way possible<>Great professor<>Linear Algebra<>Discrete Mathematics<>best mathematics teacher<>math department<>teaching style<>true mathematician<>wonderful teacher<>single email<>recent graduate<>approachable teachers
Vicki Helgeson	3.6	8	class concepts<>s flexibility<>Psychology of Gender course<>Social Psych  Easy class<>excellent examples<>student interaction<>best course<>personal experiences<>concrete office hours<>psychology major advisor<>lecture notes<>good anecdotes<>Great professor<>great discussions<>Psych of Gender<>safest space I<>awesome lecturer<>short answer questions<>added bonus
Andrew Norman	4.0	8	Awesome class<>interesting topics<>interesting debatesdiscussion<>aspect of grades<>discussion formats<>student discussion<>reading journal entry<>good professor<>argument outline sketch<>ton of work overall<>Nice guy<>best experiences of freshman year<>Terrible professor<>Great coverage of<>biggest fan<>Pay attention
Carol Goldburg	1.0	8	worst professor<>previous professor<>Horrible professor<>curved class<>helping students<>poor lectures<>docks points<>poorly run<>office hours<>harsh grader<>simple math<>Carnegie Mellon<>Carol Goldburg<>seminar courses<>Horrible overall
Alan Kennedy	4.5	7	Professor Kennedy<>analysis of early<>incredible character<>s serious<>magnificent sense of humor<>good discussion<>reading material<>hard grader<>atheist views<>English department<>literary criticism<>perfect professor<>Michael Douglas
William Keech	4.86	7	nice teacher<>great teacher<>Wonderful teacher<>good teacher<>swell guy<>class act<>attaining internships<>nice guy<>couple years<>ve gotta<>best professors I<>research positions<>Professor Keech
Kristin Hughes	1.43	7	video project<>project deadline<>real design job<>meaningless feedback<>practical aspects of design<>university faculty<>university education<>real-world job<>Gives unconstructive criticism<>serious attitude problem<>entire class<>pointless projects<>hard time<>freshman yr<>meaning of projects<>video cams<>direct quote<>theoretical crap
Mehdi Asheghi	1.93	7	old stuff<>new stuff<>Terrible lecture
Patricia Bellan-Gillen	4.43	7	good crits<>good drawing professor<>good grade<>crits don<>Interesting way of teaching<>concept studio professor<>true passion<>self driven environment<>sweetest lady<>certain way<>sweet eyes<>best teacher
Katherine Lynch	2.29	7	s hilarious<>Deadly boring<>beastly days<>subtle way<>academic bar<>higher intellect<>low rating<>diplomatic of social skills<>tough grader
Amy Burkert	4.86	7	awesome teacher<>shes crazy<>great lecturer<>Random stuff<>Awesome prof<>Shes nice<>Great teacher
Michael McHenry	2.86	7	difficult class<>good guy<>s fantastic outside of class<>good presenter<>good lecturer<>great guy<>PowerPoint slides<>cool person
Howard Choset	2.36	7	t sweat<>s notes<>Fun class<>arrogant guy<>General Robotics class<>MechE dept<>mechE teacher<>u don<>I don<>better intro<>howie choset  sex god<>google search<>copies Wickert<>robotics department<>clear idea<>big deal<>robotics freak<>fun of students<>annoying person
Howard Seltman	4.71	7	Great guy<>class happy<>helpful guy<>Nice guy<>Great teacher<>Great person<>s teaching<>phenomenal teacher<>office hours<>best way<>hard course
Jeffrey Peterson	2.21	7	t return<>t care<>ends class<>cancels class<>phys shelf<>astrophysics device<>single worst physics professor<>pastes problem<>s unapproachable<>extra credit<>lot of complaints<>Presentation of materials<>Low stress<>Stars Galaxies<>Regular exams<>final exam<>South Pole<>good teacher
Paul Eiss	4.5	7	interesting professor<>Great professor<>assertive lecturer<>history department<>good class<>Anthro courses
C Fredrick Higgs	3.36	7	teaching graduate classes<>graduate work<>subject matter<>Great professor<>football players<>detailed lecture
James Russ	2.14	7	Professor Russ<>class exam average<>exam grades<>class examples<>average exam scores<>professor errors<>real experiments<>crappy experiments<>worst physics professor<>t terribly helpful<>Class material wasn<>lower average grades<>hard homework<>s lectures<>sample exams<>learning new material<>James Russ<>RIDICULOUS tests<>teacher I<>Homework Problems<>lack of proofreading<>Lectures aren<>certain examples<>course center<>percent area<>test review<>Useless lecture<>questions wrong<>slightest clue<>big deal
Artur Dubrawski	4.36	7	s class<>fun class<>Best class<>great teacher<>great personality<>practical business experience<>time consuming<>Artur Dubrawski<>tough teacher<>acute knowledge<>hardest course<>Excellent course<>bunch of little jokes<>lot of fun<>good job<>terms of promoting learning<>Fun stories<>Heinz college
David Cerniglia	4.36	7	Awesome class<>Great Class<>fair grader<>Great teacher<>Interesting course<>easiest Interp section<>good grade<>solid teacher<>cool style<>interesting discussions
Melissa Ragona	4.71	7	Melissa Rocks<>awesome energy<>lecture classes<>student participation<>Excellent organization<>I don<>Best teacher
Robert Reid	4.43	7	s OK - Book<>Mousetrap car project<>relevant thing<>auto-inflating balloons<>great guy<>actual objectives
Charles Ettensohn	3.86	7	writing copious notes<>excellent teacher<>helpful teacher<>perfect teacher<>great notes<>professors I<>t mandatory<>lectures aren<>Quizzes aren<>test help<>lectures helpful<>multiple choice questions<>PowerPoint slides<>big picture
Daniel Brasier	4.8	7	Course lectures<>academic papers<>final paper<>great professor<>favorite course<>excellent professor<>fun final exam<>accessible lecturer<>group class work<>time reading<>interesting guest speakers<>student learning<>entertaining analogies<>bio professors<>best way<>Posts presentations<>lot of fun activities<>attendance quizzes<>great teacher<>Wonderful teacher<>extra mile
Kris Dahl	4.2	7	worst professor I<>good professor<>basic Chemical Engineering<>Awesome teacher
Rebecca Nugent	4.7	7	statistical concepts<>Hot professor  lectures<>s awesome<>s super smart<>best professor<>coolest professor<>s fairly nice<>t post lecture notes<>fast pace<>concepts of basic graph theory<>months worth of material<>guest lectures<>exceptional teaching prowess<>lot of professors<>Great prof<>ton of materials<>Freshman Seminar
Newell Washburn	4.2	7	great guy<>great TA<>problem sets<>easiest class<>good person<>quirky guy<>s pretty<>good professor<>Great teacher overall<>tad absent minded<>nice butt lol<>short time<>right person<>superfluous material<>Honors Chemistry course<>Make flash cards<>terms of understanding
Nicholas Gentry	4.57	7	Fair grader<>easy grader<>reasonable grader<>interesting class discussions<>great collection of readings<>helpful professor<>multiple perspectives<>engaging professor<>meaningless ideas<>Great choice of topic<>lot of professors<>bland subject<>Awesome class<>daily life<>insightful things<>practical concepts<>chill guy
Charles Newman	3.17	6	Creepiest person
Peter Berget	4.5	6	great professor<>great person<>great teacher<>bio majors<>good read<>good way<>corny jokes<>favorite classes<>helpful professor<>lots of material<>bit of work
Rob Rutenbar	4.67	6	great lecturer<>good lecturer<>great lectures<>good prof<>Awesome Professor<>best CMU<>ECE profs<>lot of work
Rami Grossberg	3.08	6	interesting stories<>interesting applications<>Higher level classes<>great prof<>earlier comment<>Professor Grossberg<>Concepts of Math
Allen Robinson	4.58	6	s eccentric<>s great fun<>youthful presentation<>better teachers<>da pants<>Thermo wasn<>best professor<>Great guy<>chalky robinson
Kevin Stolarick	3.0	6	t ace<>worst professor<>lack of knowledge<>solving statistics problems<>non-code days<>lack of caring<>couple trick questions<>Prof S<>nice guy<>difficult stuff<>basic things<>old adage<>applied sense<>Material isn
Annabelle Joseph	3.0	6	great teacher<>vague feedback<>grading scheme<>lot of knowledge<>frustrating teacher<>true joy
Patricia Carpenter	3.25	6	class - Lots of work<>boring class - Good professor<>interesting cog-psych class<>loads of work<>t hand<>non-technical classes<>Interesting concepts<>helpful professor<>engineering student
Roberto Weber	3.83	6	easy class<>class discussion<>research projects outside of class<>fantasy football<>nice guy
Susan Finger	5.0	6	great class projects<>great advisor<>Fantastic teacher<>engaging teacher<>s performance<>interesting homework<>professor I<>Keeps late hours<>rapid proto
Lowell Taylor	4.67	6	arrogant jerk<>intro class<>PhD Microeconomics<>best profs I<>intermediate class<>Smartest member<>Clinton administration<>Makes econ fun<>wicked smart<>microeconomic theory<>Awesome Professor<>Great examples<>brilliant success
Mario Castagnaro	5.0	6	mandatory class<>bad class<>easy class<>s class right<>BEST INTERP TEACHER<>Brilliant teacher<>best english teacher I<>Best professor<>Awesome teacher<>Blade Runner<>daily work<>interp tons of fun<>best teachers<>lot of movies<>brainstorming ideas<>Fair grader<>good discussion
Susan Graul	3.58	6	lab reports<>lab II class<>report-writing instructions<>things understandable<>Shes easy<>hard grader<>good grade
Claudia Kirkpatrick	4.67	6	s awesome<>s particular needs<>Great class<>Great teacher<>Great person<>Manditory attendance<>perfect resume<>comfortable atmosphere<>wonderful professor
Burak Ozdoganlar	2.83	6	easy class<>controls class<>irresponsible person
David Burns	3.08	6	year professor<>opinion alwaysw<>s difficult<>positions of authority<>utter lack of creativity<>semester student<>type of person
Thomas Werner	3.5	6	understanding of linguistics<>good reason<>little bit boring<>Nature of Language<>linguistics experience<>Phonology class<>good teacher<>late work<>non office hours<>answer questions<>relaxed professor<>Difficult class
Lucio Soibelman	2.92	6	grad students<>line of work<>excellent insight<>favor of teaching<>computer-oriented course<>successful businessman<>jus piggy backs<>Amazing person<>engineering issues
Cian McMahon	4.67	6	Opens class<>class weekly<>class discussion<>excellent - great personality<>interesting lectures<>Awesome personality<>Irish history<>good use of media<>Irish accent<>super nice person<>amazing professor<>extra mile<>SMART profesor<>good slideshow<>unfair grader<>favorite subject<>fun roll
Michael Bockstaller	4.33	6	awesome Austrian accent<>Arnold Schwarzenegger
Ryan O'Donnell	4.5	6	Excellent lecturer<>fantastic lecturer<>clear professor - excellent blog posts<>office hours<>right questions<>good course<>Amazing lecturer
Kristina Woods	2.42	6	t professor<>s notes<>follows prof<>Terrible teacher<>absurd grading system<>simple derivations
David Yaron	3.17	6	Professor Yaron<>good TA<>great job<>Great class<>best job<>fairly straightforward class content-wise<>awful teacher<>homework assignments<>good chemistry background<>basic concepts<>bit dry<>subject matter<>new concept
Laurie Eisenberg	4.67	6	Professor Eisenberg<>wonderful professor<>great professor<>inflammatory topic<>class work<>tough grader<>Arab-Israeli conflict<>percise feedback<>interesting discussions<>Demands high quality assignments<>wealth of knowledge<>great teacher<>I don<>I didn<>lot of work<>balanced views<>Middle East
Nicole Hassoun	3.33	6	research class<>hrs class<>worst class<>Great class<>Binghamton - Class<>challenging class<>t care<>page essay<>page papers<>single week<>different projects<>Professor Hassoun<>philosophy paper<>bit boring<>Nice Professor<>different political issues<>public school<>s fair<>final project<>Prof Hassoun<>reading material<>intro level things<>realm of ethics<>group assignment<>times unnecessary<>student time<>free access<>phil course<>I wouldn
Bill Nace	2.17	6	homework assignments<>research university<>Friendly professor<>lot of potential<>hard time<>definition of inconsistency
Adam Blank	4.33	6	Super super super helpful<>lot of time<>lot of extra office hours<>s enthusiasm<>CS curriculum<>s passionate<>class enjoyable<>caring teacher I<>cs theory<>lectures entertaining<>difficult material
David O'Hallaron	3.3	6	Nice guy<>nice person<>Boring lectures
Scott McElfresh	1.75	6	Nice guy<>classes hos exams<>tests weren<>worst teachers I<>terrible teacher<>CS concepts
Michael Hendrich	3.5	6	math class<>class I<>class average<>awesome teacher<>hard material<>athletic Conan O<>favorite teacher<>t care<>extremely passionate teacher<>hard professor<>Kind of ridiculous material<>s dreamy<>genuine passion<>entire colleg experience<>office hours<>Old Soul<>concept guy<>things reaaaallllyy<>exam time
David Tungate	4.3	6	great stories<>huge curve<>Bus Law - great prof<>law class<>Great teacher<>interesting stories<>funny stories<>big curve<>Great professor<>Pretty interesting guy<>Pay attention
Guy Blelloch	4.1	6	overall Guy<>good teacher<>best professors<>best CS professors<>dedicated teacher<>high level of rigor<>challenging course<>easy course
Chris Labash	2.8	6	better communicator<>better listener<>s industry expertise<>better leader<>class interesting<>bad experience<>communications course<>Great teacher
Loh Po-Shen	5.0	6	Amazing professor<>good job of teaching<>amazing lectures<>amazing guide<>Perfect teaching skills<>Great Professor<>open discussion<>putnam SEMINAR<>unit mini-course
Charlee Brodsky	3.8	5	class excitement level didn<>great teacher<>new ideas<>insightful person
