Instructor	Average Rating	Total number of rating	Key Phrases
Davin Lafon	4.4	5	computer based<>office hours<>drops alot<>answering emails<>helpful professor<>basic stuff<>LOGIC everone<>I don<>logical dude
J. Devine	4.3	5	freshman seminar topic
Jimmy Zhu	3.3	5	great course<>weeder course<>i couldn<>worst professor<>particular problem<>real ultimate proffessor<>pep talks<>Best Professor
Christina Fong	3.6	5	good class<>good teacher<>good case<>assigned reading
Don Marinelli	4.1	5	best profs<>great stories<>teaching style
Jason Morgan	5.0	5	great class<>main portion<>lot of information<>interesting information<>class pretty<>great teacher<>page essays
Stanley Zin	4.7	5	clear teacher<>great job<>bright guy
Marc De Graef	4.1	5	cool experiments<>Intro class fun<>easiest grader<>grade curve<>cool teacher<>Mechanical engineer
Larry Pileggi	4.2	5	great mind<>great teaching style<>awesome ECE professor
Jeremy Avigad	4.4	5	s cool<>type of professor
Mike Bridges	4.6	5	Great class<>Huge lecture hall<>Boring book<>ll ace<>good guy<>study guide
Sophie Queniet	4.8	5	French of course<>lovely French accent<>best french prof<>expression of students<>fun professor<>verrry nice<>interesting readings<>Encouraged discussion<>Great professor
Clover Bachman	1.8	5	great teacher<>tough grader<>easy time
Michael Witmore	4.2	5	theory fascinating<>professor I<>Makes complicated
Clark Glymour	3.4	5	pinkie finger<>dumb people<>old guy<>Arrogant bumbling simpleton
Theresa Tardio	4.9	5	research paper<>class fun<>fun class<>Professor Tardio<>level of Spanish<>big projects
Tianxue Yao	3.4	5	English class<>Great teacher<>Pay attention<>looking woman<>strict attendence<>material isnt<>dept wont
Kristen Kurland	4.8	5	knowledgeable person<>public policy major<>Best course
David Frame	3.2	5	Terrible lecturer<>Terrible teacher<>incomprehensible babble<>intellectual stimulation<>demand curve<>sooo eeeasy<>good professor
Sharon Dilworth	2.9	5	better creative writer<>favorite CMU English Professors<>excellent professor<>sense of humor<>lot of time<>discussion of screenwriting craft<>Relevant films<>chase attitude<>wonderful person<>outgoing personality
Douglas Cooper	4.6	5	drawing classes<>s school of architecture<>s work<>s super critical of drawings<>tremendous improvement<>best professor<>great drawing teacher<>lot of stories<>Studio deadlines<>Carnegie Mellon<>Doug Cooper<>interesting professors<>good drawer
Irving Oppenheim	4.0	5	helpful professor<>weird professor<>Slow talker<>worst professor I<>boring class<>Class average<>slowest talker<>extra work<>s awesome<>fair assignments<>good way<>great teacher
Arthur Lubetz	3.7	5	personal opinions<>Da Art<>point of stifling personal growth<>stimulating readings<>Da Bomb<>likes art<>best teacher<>Long Live
John Soluri	4.0	5	Professor Soluri<>good professor<>great guy<>John Soluri<>cool professor<>introductory class interesting<>best prof I<>pretty monotonous voice
Martin Lindner	3.6	5	heart of network security<>class entertaining<>outside of class<>Internet Security<>critique security policies<>valuable insight<>useless class<>s decades of experience<>s essential<>s best interests<>world experiences<>best classes I<>professors I<>real world business environments<>t afraid<>worst profs I<>common knowledge<>lecture content<>national level cyber incidents<>quality learning experience<>attitude adjustment<>interactive delivery style<>inner nerd<>Info Sec<>text book
Mark Stehlik	4.8	5	great lecturer<>great advisor<>best people<>great advice outside of class<>amazing professor<>Best mentor<>final review day<>CS Undergrad Program<>Extremely kind<>teaching style<>Amazing guy<>good person<>slower pace
Spike Wolff	2.1	5	lot of work<>worst professor<>best work<>t helpful<>student-professor dynamic<>wide range of topics<>critiques aren<>school of architecture<>earth professors
Andrew Johnson	3.0	5	s tough<>s taste<>s crazy<>easy class<>main topic<>different way<>self discoveries<>lesson plan<>great teacher<>random projects<>traditional classes
David Haeselin	3.3	5	interesting subject matter<>good teacher<>good grade<>class interesting<>digital rights<>English requirement painless<>nice guy<>toughest class<>helpful teacher
R.F. Culbertson	3.4	5	Incredible professor<>Great guy<>s course<>best course<>taking follow<>making friends<>CMU thanks<>outside of classrooms<>following year<>important skills<>unrelated things<>entrepreneurship class<>attempt win favor<>meaningful lesson
Burcu Akinci	4.3	5	awesome professor<>smart professor<>Superb person
Marlene Behrmann	4.9	5	s knowledgeable<>s freshman seminar class<>personal experiences<>HSS students<>lots of sharing<>Great professor<>power points<>academic field<>psych isn<>Prof Behrmann
Robert Heard	4.0	5	low workload<>great lab teacher<>Great professor<>boring lecturer<>best professors I<>heightened sense of self<>soooooooooooooooooooooooooooooooooooooooooooooooooooo nice<>lab group<>Interesting presentations<>generous grader<>Easy class
Joachim Groeger	3.9	5	hard professor<>Professor Greoger<>nice professor<>field of economics<>hard course<>context of academia<>lectures aren<>t mandatory<>Super helpful office hours<>cool guy<>Random pop quizzes<>frank perspective<>1h20mins lectures<>future of science
Alison Barth	2.1	5	t Pass<>t bs<>I don<>practice exams<>practice tests<>Skip Class<>intelligent professor<>harsh grader<>discomfiting teaching style<>Unclear standards<>Confusing lectures<>personal offence<>pejorative comments
Tae Wan Kim	4.5	5	best business ethics professor<>Class material isn<>amazing professor<>office hours<>spring break<>enjoyable course<>s fault<>interesting sense of humour<>great job
Diane Shaw	4.9	5	architectural history<>Professor Shaw<>funny way<>astounding professor<>architectural education<>architecture class<>Carnegie Mellon<>favorite processor<>college experience<>Diane Shaw<>kind of fun
Kent Suhrbier	3.2	5	helping students<>t care<>utter incompetence<>hiring faculty<>great professor<>great feedback<>administrative favor<>Best studio instructor<>depth crit<>Prime example<>dismissive attitude<>strong resources<>design process
Phil Leduc	3.2	5	class fun<>Easy class<>advanced mechanics class<>teaching material<>guest lecturers<>guest lectures<>non-existent final<>ECE b<>mousetrap car<>pretty cool guy<>human tibia<>homework assignments<>level PRIOR<>fun team project<>confusing teaching<>Rating system<>different programs
Benjamin  Reilly	4.8	5	s fine<>weird sense of humour<>Extra hotness points<>best professor<>Super cool<>funny man
Joshua Ballew	2.3	5	important class<>good professor<>easy homework<>homework assignment<>Ballew isn<>good mathematician<>best prof<>best lecturer<>sharp contrast<>recitation activities<>problem sets<>past years<>real analysis<>material difficulty
Marilyn Taft Thomas	3.9	5	new haircut<>lot of highlighters<>october comment<>great teacher
Janusz Szczypula	4.9	5	good teacher
Anil Ada	4.4	5	s class<>Ada isn<>Great teacher<>Great lecturer<>terrible teacher<>office hours<>boring lectures<>Amazing professor<>cooler guy<>good lecturer
Jamie Smith	4.9	5	good day<>Harry Potter class<>writing essays<>good friends<>passable essay<>Great teacher overall<>lot of fun<>favorite classes
Stephen Schultz	4.88	4	Beatles class<>amazing class I<>Pay attention
Karen Moyer	3.25	4	s class<>heirarchy project sophomore year<>s great<>s underappreciated<>t use type<>end of senior year<>passionate professor
Barbara Burstin	2.5	4	lecture class<>discussion class<>subjective grading<>lack of professionalism<>student learning<>interesting course<>low grades<>standard of teaching<>Hopeless egomaniac
Steven Schlossman	4.88	4	values content<>concepts of writing<>good teacher<>great teacher<>teaching style
David Owen	4.25	4	Nice guy<>class average<>lot of proofs<>s notorious<>office hours<>great teacher<>Exams questions<>time period
Lynne Reder	1.38	4	specific things<>grading scheme<>nice person<>overall incompetent<>assignment expectations<>worst professors<>complete mystery
Kiron Skinner	4.63	4	class couldn<>s lectures<>best professors<>real homework<>current applications<>s extremely approachable<>extra credit assignments<>Fantastic teacher<>lot of content<>carnegie mellon<>good luck<>Discussions of readings<>political science<>attendance doesn<>nice person
Limor Golan	2.75	4	complex subject<>good teacher<>Easy course
Warren Garrison	3.88	4	random stories<>old exams<>Great class
Susan Polansky	4.88	4	great professor<>loving professor
Erik Thiessen	4.75	4	lot of great advice<>Great professor<>clear understanding<>favorite professors<>soooooooo helpful<>psych department
Nick Yeung	4.88	4	old rocks<>Psychology department<>Cognitive Psychology<>British accent<>Awesome teacher<>lot of Banana Republic clothes<>s hsrd<>right places<>rising star<>slide shows<>HUGE crush<>professor rocks<>near future
Yuji Ijiri	2.13	4	middle of class<>Matrix movies
David Shumway	2.5	4	approachable professor
Lowry Burgess	4.0	4	rated Lowry<>looooooooooooooove lowry burgess
Allyson Creasman	4.25	4	Amazing teacher<>amazing professor<>class interesting<>good teacher<>final exam
Stephen Brookes	3.75	4	drab material - lecture slides<>past midterms<>Enjoyable course<>loud music<>Impossible midterm<>Challenging midterm<>bad professor<>necessary topics<>good job of presenting<>Good class
Maryon Oliver	2.75	4	best professor I<>s hands<>class room door<>good grade<>Prof Oliver
Don Wadsworth	4.75	4	man sooo<>s amazing
Barbara MacKenzie-Wood	5.0	4	invaluable class I<>finest acting teachers<>fine wine<>s worth<>s hard<>School of Drama
Weining Kang	2.38	4	nice guy<>D haha<>good professor
Robert Strauss	2.88	4	real world<>class applicable<>real-world scenarios<>Great professor of Econ<>Public Policy<>Horrible teacher<>Poor professor<>neat stories
Mara Harrell	3.5	4	nice lady<>Hard grader<>previous nights reading<>class goes<>fun person
Thomas Keating	4.0	4	CS majors<>CS department<>CS major dreads<>entire class rambling<>random things unrelated<>amazing teacher<>boring thing<>Horrible teacher<>Technical Communications<>total boss<>unreasonable amounts of work<>Tech Comm<>tough grader<>good feedback
Tim Vidas	4.5	4	depth knowledge<>technical things<>topic of forensics<>difficult coursework<>area of expertise<>high expectations<>previous classes<>day job<>information security domains<>good thing
Curtis Meyer	4.38	4	Excellent teacher<>good teacher<>awesome teacher<>fair tests<>great teacher<>interactive lectures<>course work<>excellent fashion sense
Lisa Tetrault	5.0	4	lovessss class participation<>s great<>s interesting<>kind of hard<>t extremely<>letter grade<>Wonderful professor<>I wasn
Maria Ferreyra	2.5	4	significant emphasis<>office hours<>anonymous note card questions<>Strong emphasis<>extra help<>s extremely difficult<>helping students<>economic vocabulary<>Horrendous lecture organization<>partial credit<>Solid teacher<>exam review sessions<>grade level<>t representative<>extreme ideas
Maumita Mandal	2.63	4	canceled class<>harder class w<>necessary outside of class<>bigger picture ideas<>Terrible teaching ability<>exam day<>Used incorrect equations<>asking questions
Stefan Bernhard	3.13	4	t help<>terrible time<>bit of structure<>open book exams<>dry sense of humor<>grading scheme<>Attending lecture doesn<>good class<>large curve<>Office hours<>alright professor<>thick accent
Mark MacBeth	3.38	4	great teacher<>Professor MacBeth<>average stuff<>brick wall<>graduate school<>biopsych majors<>horrible person
Nick Williams	5.0	4	great lectures<>Great lecturer<>office hours<>Great professor<>interesting guy<>cool guy<>good psych background<>strong Psych background<>intriguing course<>taking notes<>fair examinations<>awesome course
Boris Bukh	2.88	4	bonus problems<>smart mathematician<>interesting proof<>subject matter<>sooooo smart<>endearing way<>linear algebra<>good lecturer<>stereotypical traits<>intellectual arrogance
Randall Bryant	3.6	4	office hours<>course material<>stuff old man
Conrad Zapanta	4.9	4	Great Teacher<>Great mentor<>great professor<>Penn State fan<>Best BME teacher
Phil Campbell	4.0	4	class isn<>Tough class<>playing field<>past exams<>prior knowledge<>favorite professors<>entire university<>curves grades<>best effort<>amazing lecturer<>great stories
Kristina Straub	3.5	4	specific style<>backhanded comments<>personal voice
Richard Scheines	4.0	3	nice guy<>interesting course materials<>youare ass<>plesent time
Eric Fisher	3.0	3	harvard gsd
Alan Frieze	4.0	3	good class<>challenging class<>exciting class<>class bearable<>nice guy<>Great teacher<>proper math backgrounds<>great prep<>homework isn<>decent jokes
Bernd Bruegge	3.33	3	Nice guy<>limited grades
Scott Matthews	5.0	3	learning fun<>Great prof<>real case studies<>difficult class
Lily Hou	1.83	3	Tough teacher
Liza Wellman	4.0	3	
Doug Wholey	2.17	3	end of time<>health care policy research<>individual tutoring
Elisabeth Watkins	4.83	3	clear syllabus<>clear goals<>History of Childhood<>writing skills<>genetics class<>Mrs Watkins<>great lecturer
Richard Holman	3.17	3	physics classes<>awesome guy<>tad difficult
Srila Nayak	1.0	3	Americans English<>strict grader<>course description<>fun class<>good teacher
Kenya Dworkin Y Mendez	4.33	3	s real chill<>interesting class<>lot of essays
Michael Widom	2.0	3	difficulty implicit<>wet paper bag<>reasonable problem<>Worst professor<>poor reviews<>clear lectures
Bob Kraut	2.67	3	
Avrim blum	4.33	3	good teacher<>good lecturer
Luca Deseri	3.67	3	clear explanations<>exam material
Thomas Bondra	3.17	3	
Shelley Anna	4.17	3	Fluid Mechanics<>office hours
Andreea Ritivoi	5.0	3	genuine concern<>Fair grader<>Wonderful professor<>certain grade<>class w<>best quality
David Lassman	4.83	3	Class discussion<>discussion based class<>s cases<>Favorite class<>s leadership style<>case discussion-based<>Best professor<>great experience<>wide scope of management<>providing valuable insight<>Bill Cowher-suprise speaker<>m fortunate<>Professor Lassman<>extensive experience<>great time<>lot of fun
Bonnie Youngs	4.67	3	significant portion<>favorite class<>good teacher<>bad books<>awesome professor<>fun way
Susie Silver	3.0	3	weakest link<>hard work<>finding artists<>wealth of information<>damn lot<>great professor<>outside of class<>certain students
Tim Dawson	4.17	3	constructive feedback<>eclectic style<>great job of analyzing opinionated pieces of writing<>English teacher<>interesting questions<>huge assignments<>little misleading<>better paper
Gruzska Jamie	4.67	3	wonderful class wonderful experience<>intro B<>open eyes<>photo lab<>Super awesome
Erik Ydstie	4.33	3	tough class<>funny guy<>middle of lecture<>good thing<>class interesting<>great accent
Anupam Gupta	3.67	3	lecture slides<>Professor Gupta<>evil CS classes<>s pretty straightforward<>incredible teacher<>nice LaTeX notes<>magic tricks<>challenging professor<>discrete math
Daniel Sleator	2.33	3	entire class<>class overall<>utter failure<>minor mistake<>Splay Trees<>communicating ideas<>CS concepts<>sea of hand-waving proofs<>Office hours<>effective lecturer<>undergrad level
Bill Scherlis	4.17	3	s big<>best class<>great teacher<>daily basis<>hash tables<>good real-life experiences<>clear communication<>software engineering<>decent prof
Stephannie Bartos	2.17	3	s dime<>REAL job<>s bitter Seniors<>pro bono<>bad rating<>cool work
Stephanie Batiste	3.67	3	s classes<>classes I<>t skate<>kind of hard<>lots of reading<>inevitable frustration
Adrian Perrig	4.83	3	great class<>difficult class<>fun class<>great professor<>best security course<>best professsor
Jay Ball	2.67	3	
Mark DeSantis	4.83	3	
Scott Summit	4.67	3	UR SCH00LZ<>TEACHN UR KIDZ
Maria Kurnikova	2.0	3	major syntax errors<>Posts homework
Jon Klancher	2.5	3	
David Touretzky	2.5	3	s assignments<>t bad<>s teaching<>basic concepts<>programming experience<>earlier examples<>practice problems<>lectures aren<>computer science<>rigid constraints<>largest difficulty
Pantelis Vlachos	4.83	3	organized teacher
Felipe Gomez	3.33	3	online work<>class interesting<>good reason<>Plays favorites<>Practice everyday<>best results
James Wynn	5.0	3	helpful way<>Professor Wynn<>detailed feedback<>amaznig looks<>funny guy<>Fantastic course<>rough personal things<>Rhetoric of Science<>better writers
Carey Morewedge	4.83	3	realm of Social Psychology<>low key teaching approach<>Kept class interesting<>Decision Sciences<>Awesome sense of humor<>Brilliant teacher
Sakir Yucel	4.33	3	class couldn<>class interesting<>time job<>homework assignments<>caring teacher<>real office hours<>s crazy<>helpful guy
Dave Eckhardt	2.5	3	
Kurt Sampsel	4.83	3	pop culture<>s approachable<>s fair<>lot of reading assignments<>fair grader<>great teacher
Rosalind Chow	3.17	3	common sense<>participation grade<>group members
James Schneider	4.83	3	class material<>boring topic I<>chemE class<>interesting teacher<>Great teacher<>end of lecture I<>material balances<>TA office hours<>s boring<>teaching style
Jared Day	2.83	3	great sense of humor<>harsh grader<>Terrible teacher<>Professor Day<>competent instructor<>ton of reading<>choice don
Kristopher Rush	1.67	3	new teacher
L Schmidt	4.17	3	great thing
Gautam Iyer	4.5	3	I don<>spectral theorem<>unit class<>Hardest professor<>s awesome<>linear algebra
Gang Liu	5.0	3	
De Boer Maarten	3.33	3	nicest professor<>semester professor<>good study guide<>MechE Thermo<>certain words blank<>difficult Exam
Christopher Wike	4.83	3	favorite class<>s class<>helpful teacher<>past semester
Candace Skibba	4.33	3	normal person<>Awesome teacher<>delightful person
Charlene Castellano	5.0	3	Wonderful professor<>Wonderful teacher<>best professors I<>good sense of humor<>heavy reading load
David Reitter	3.67	3	Good class<>Great professor<>German accent<>s hot-love<>Poor speaker<>Terrible Professor
Hyong Kim	2.0	3	t care<>Heavy load<>world expert
Stephen Neeley	5.0	3	engaging class<>useful classes<>incredible teacher<>beneficial class I<>day life<>huge impact<>Music Department<>Stephen Neely<>amazing person
Rachel Mennies	5.0	3	Great professor<>Awesome professor<>good things<>detailed feedback<>rough drafts<>quick revision<>Great class
Gizelle Sherwood	5.0	3	lot of respect<>amazing teacher<>following day
Seyoung Kim	1.0	3	Professor Kim<>terrible professor<>careless mistakes<>Piazza posts<>little guidance<>ambiguous explanations<>Lecture slides<>confusing notations<>Final project<>Homework assignments
Xizhen Cai	4.17	3	AP class<>easy class<>AP Stats<>office hours<>bonus credit<>lot of opportunities<>Professor Cai<>thorough teacher<>intro level course<>high school
Jiacheng Liu	3.67	3	class discussions<>course overall<>graduate course<>hard ass<>classic feminist chinese teacher<>little dullunenjoyable<>tax returns<>enjoyable manner<>gate of heavenly peace
Rob Simmons	4.33	3	Professor Simmons<>Great professor<>absolute favorite professor I<>thoughtful people<>Written homework<>Carnegie Mellon
Albert Han	5.0	3	Professor Han<>t help<>real life meme<>student meme shows effort<>extra credit<>Ba-Dum Ba-DUM DUM<>great depth<>fresh spin<>world of memes
Donald Sutton	3.3	3	teaching style<>required effort<>self-aware professor
Weicheng Ye	3.3	3	real problems<>knowledgeable professor<>solid math background<>tough grading<>course materials<>understanding of  theorems<>applied maths
Michael West	3.7	3	CMU standard class<>high school standard class<>understanding professor<>Professor West<>French culture<>forced obligation<>coolest professors<>waste of time
Gloria Silva	4.0	3	amazing professor<>amazing lady<>hardest subjects<>lecture notes online<>good experience<>s lectures<>Organic Chemistry
Janusz Ginster	4.0	3	outside of class<>fun class<>tests aren<>professor Ginster<>definition heavy<>Fair grader<>lot of proofs
Steve Stadelmeier	2.5	3	design students<>relaxed nature<>anarchical attitude<>Great class
Christopher Sleet	3.33	3	office hours<>Lectures unrelated<>British accent
Todd Mowry	2.25	2	
Janie McCafferty	5.0	2	informed planet<>wonderful professor<>creative writing professors<>beautiful person
Michael Trick	3.0	2	
Bruce Maggs	4.0	2	
Ramayaa Krishnan	2.0	2	combining material<>timely news articles
Chris Atkeson	5.0	2	great class
James Ferla	5.0	2	excellent guitar instructor
Frank Pfenning	4.25	2	good teacher
Robert Harper	3.5	2	PhD student Dan Licata<>engaging professors I
Jeanne Baxtresser	5.0	2	
Krzysztof Matyjaszewski	4.25	2	
Elizabeth Jones	3.0	2	VERRYY HARD grading<>shes REAAALLLLYYY<>person didn<>partial credit
Andrus Jennifer	1.5	2	I didn<>pretty boring teacher
John Eperjesi	5.0	2	Yo shiznitz
Michael Domach	3.75	2	open book<>open notes exams<>laptop exams<>practice exams<>book examples<>great professor<>real-world applications<>iffy text book<>bad writing<>Spring Intro<>Chem Engineering
Wendy Goldman	5.0	2	interesting reading<>Gives interesting lectures<>class fun<>Great teacher<>written work
Raj Rajkumar	2.5	2	false grade expectations<>big picture<>teaching craps<>turday quizes<>Work load<>ing horrible
Pamela Jennings	1.0	2	
Alisha Bhagat	3.75	2	green streaks<>s smart<>ball of purple
Sue-Mei Wu	4.25	2	Chinese II<>good pace
Stuart Staley	2.75	2	practice tests<>reallly nice<>caring professor<>exact problems
Sheldon Goettel	4.5	2	offering insight<>personal stances<>good studio professor<>great job<>extra work<>point of view
Edmund M. Clarke	1.75	2	frequent referral<>new material<>old stuff<>class timeslot covering old material<>outside sources<>Extremely absent-minded<>student ideas<>Lecture slides<>new stuff<>little time<>group meetings<>basic concepts<>advanced classes
Tim Shimeall	5.0	2	great professor<>Great teacher<>great stories<>Makes class enjoyable<>Fantastic insight<>computer security<>Professor Shimeall<>interesting classes<>t teaching
Claudia Benack	3.5	2	best choice<>best private instructor<>lovely woman<>MT teachers
Golan Levin	4.75	2	seats total available<>great taste<>advanced studio<>awesome teacher
Jim Duesing	4.5	2	history class<>structured class<>wild animation<>lot of work outside of class<>fo Director<>great sense of humor<>media clips<>computer art
David Pellow	3.25	2	good jazz director
Daniel Markowicz	1.0	2	Professor Markowicz<>perfect case study<>worst teachers
Maddox Richard	3.25	2	good review
Jeff Hinkelman	5.0	2	
Gretchen Van Hoesen	5.0	2	theory teacher<>best harp<>Unbelievable teacher
Mel Stephens	2.75	2	
Robert Bingham	2.8	2	personal stories<>interesting guy<>main topic<>Mixed Media teacher<>Great stories
Anna Fisher	2.75	2	rude person<>nice person
Smith Jad	5.0	2	i didn<>funny guy
Manfred Paulini	4.25	2	Great job interjecting humor<>good job<>middle of fairly complex physics<>s attention<>great lecturer<>office hours
Alan McGaughey	4.75	2	best professors
Robert Siegler	3.5	2	us students<>Professor Siegler<>s Educational Research class<>fascinating topic<>retaining information<>real turn<>interesting lecturer<>great discussion facilitator
Eric Keylor	3.0	2	
Yumiko Kono	4.5	2	s mad
David Danks	4.0	2	Awesome lecturer<>Grades papers
Robin Reames	3.0	2	super hot lady<>definately recommed
Spenser Martin	3.25	2	finance program<>Great Teacher
Muzaffer Akat	3.75	2	s gonna<>s bad<>greek letters<>calc based physics<>linear algebra
David Hackney	3.0	2	office hours<>broad questions
Dmitry Kramkov	2.75	2	Brilliant professor<>rigorous instruction
David Laughlin	5.0	2	great teacher
Alessandro Rinaldo	3.5	2	
Kim Beck	3.0	2	alot of time<>alot of fun<>real structure
Linda Flower	3.25	2	Great class
Timothy Haggerty	4.25	2	teaching technique<>interesting professor
Barbara Johnstone	3.25	2	lots of reading<>wonderful teacher
Ayanah Moor	4.25	2	s teaching methods<>occasional snark<>enthusiastic professor
Philip Quinque	3.5	2	kind of annoying<>random quizzes<>timely fashion<>LOT of material
Hilary Franklin	4.5	2	easy interp class<>interp classes<>favorite professors<>good grade<>participation points
Kenji Shimada	4.5	2	intermediate level of coding<>Great class
George Vosburgh	4.25	2	Trumpet Professor
Jeremy Smith	3.0	2	Notable subject area expertise<>industry insight
Laura Dabbish	2.5	2	best class<>class interesting<>s teaching<>face value<>Human Factors<>Fantastic instructor
Bruno Sinopoli	4.5	2	extra hours<>extra office time<>Professor Sinopoli<>great professor<>s dedicated<>s receptive<>negative feedback<>controls class WHUTTTT
Brian Quinn	4.0	2	Physics II<>eccentric guy<>overall awesome professor<>physics course<>challenging homework problems<>teaching core concepts
William Marcellino	3.0	2	Mr Marcellino<>s career history irrelevant<>serious attitude problem<>year marine<>previous comment
Subha Das	3.75	2	organic chemistry<>Pretty boring<>office hours<>simple way
Rob Fallon	4.0	2	teaching students<>life skills<>office hours<>page paper assignment<>Fantastic teacher<>answering emails
Charles Rosenblum	3.25	2	s difficult<>incorrect pronunciation of words<>professor of art history<>great dude<>Hates chewing gum
R Ravi	4.5	2	good Indian professor<>Excellent professor
Gregg Franklin	5.0	2	real physics class<>practical physics<>SS kids<>Future Presidents<>interesting class<>easy B<>Awesome professor<>cool guy<>great lengths
Kari Lundgren	4.5	2	interesting readings<>interesting topics<>lot of different<>good teacher
Afeworki Paulos	3.0	2	s insights<>course description<>current events<>case studies<>tons of background information<>understanding politics<>student didn<>conflict resolution<>IR theories<>significant value<>terrible lecturer
Joy Siu	5.0	2	s funny
Russell Golman	3.25	2	class day<>class enjoyable<>book teaching<>format of collecting questions students<>Awkward teaching style<>unusual grading<>coldstone ice cream<>department of social<>decision sciences<>young professor<>Freshman seminar<>assigned readings<>game theory
Edda Fields-Black	3.75	2	Essay prompts<>tons of passive-aggressive race-card venting<>wonderful teacher<>west coast<>African History<>Tons of readings
Gregory Parry	5.0	2	nice guy
Markus Deserno	5.0	2	terms of teaching abilities<>concepts multiple ways<>Future Presidents<>homework sets<>Excellent professor<>best professors
Shoba Subramanian	4.75	2	previous tests<>general education requirement<>great teacher<>breaking things
George Loewenstein	4.0	2	s class<>fairly engaging lecturer<>pretty engaging professor<>case studies<>uncomfortable extent
Brandy Aven	3.5	2	Final exam<>final grade<>entire exam<>grade individual<>midterm grade<>Organizational Behavior<>huge group project<>day of class
Mark Wessel	3.0	2	excellent job<>best professors<>office hours<>brown nose<>complex concepts<>terrible professor
Gabrielle (abby) Flynt Fijas	4.75	2	great teacher<>class rocks<>s fantastic<>students don
Andrea Jones-Rooy	5.0	2	s sexy<>best teachers<>extra credit opportunities<>s extremely<>great way
Steven Broomell	3.0	2	
Sham Kekre	3.5	2	easy grading
Giovanni Leoni	5.0	2	honors level math class<>biweekly homework<>lot new information<>great time<>true meaning<>deep thinking<>high standard
Kevin Noonan	4.75	2	Office hours<>s funny<>students success<>good professor
Kenneth Keeling	5.0	2	Easy class<>great experience<>adorable old man
Anthony Stanton	4.25	2	course material<>final exam<>graphic media management<>general education requirement<>term project<>good class
Geoff McGovern	4.0	2	great feedback<>great professor<>s extremely<>fantastic professor<>reading load<>lot of work<>subject matter
Mame Niang	4.75	2	French class<>favorite classes<>english isn<>Incredible professor<>extra credit
Ian Tice	5.0	2	s answer<>lot of effort<>s brilliant<>lot of work<>crafts assignments<>thorough lecture notes<>homework assignments<>interesting tangents<>teaching vector analysis<>challenging students
Rakesh Thapar	1.25	2	regular project management class<>worst professors<>Rakesh Thapar<>attendance isn
Lauren Shapiro	5.0	2	easy class<>Great class
James Thompson	1.0	2	awful teacher Ive<>heartless man<>grading expactations<>ridiculous grader<>redeeming qualities
M. Yenmez	2.75	2	t helpful<>micro material isn<>Prof Yenmez<>decent professor<>Quizzes everyday<>teaching style<>office hours
Peter Ali	4.5	2	content I<>d model<>Course content<>class structure
Karam Kang	4.0	2	Holds office hours<>Problem sets<>weekly online quizzes<>best use
Hael Collins	4.75	2	nice professor<>Professor Collins<>helpful professor<>mandatory book quizzes<>amazing teacher<>Great personality
Emily Ferris	5.0	2	current PhD student<>class deals<>extra time<>Easy class<>enjoyable personality<>nice lady<>year writing teacher<>strong grasp
Oliver Hahl	5.0	2	group ideas<>Professor Hahl<>group project<>case briefings<>great professor<>different way<>grading criteria<>s willing
Andrew Gordon	5.0	2	Kindest professor I<>best English professor<>minimal work<>great teacher<>relevant lectures<>considerate of students
Ajit Sharma	4.3	2	Attendance mandatory<>helpful professor
Kelvin Gregory	4.3	2	challenging subject fun<>Great professor<>Required course<>Fluid Mechanics<>exam questions
Alex London	4.0	2	
David Krackhardt	4.8	2	entire class<>amazing professor<>Structure of class<>position of managers<>AMAZING lecturer<>Professor Krackhardt<>interesting topic<>best instructor<>teaching methods<>critical decisions
Neil Donahue	4.5	2	quantum mechanics<>Neil Donahue<>Hippie teacher<>fair grader<>little natural intuition<>challenging subject
Kathy Newman	5.0	2	lot of opportunity<>Discussion based<>cool person<>fun teacher
Karen Berntsen	1.5	2	minor details<>lot of time<>super head<>big picture<>entire thing<>shade of purple<>consistent explanation<>caring person<>bleeding heart<>giving feedback
Carrie Doonan	3.0	2	s class<>s amazing<>good grade<>lot of work<>coherent reason<>Bio Lab<>favorite section
Iliano Cervesato	2.0	2	lecture notes<>worst professors<>nice guy
Jay Roszman	5.0	2	British History course<>best History professor I<>special section<>required history class fun<>Culture of London course<>extremely nice person<>engaging lecturer<>office hours<>Global Histories<>huge lecture
Linda Robic	1.8	2	practice exams<>actual exams<>textbookGoogle stufflook<>big lecture hall<>great teacher<>Posts presentations
David Miller	3.5	1	
Hui Zhang	5.0	1	
Robert Nichol	1.0	1	WORST PROFESSOR
John Zimmerman	3.5	1	
Giancarlo Dozzi	5.0	1	
Sha Zhao	4.0	1	native English speakers<>brains work
Roger Dannenberg	5.0	1	
David Greve	5.0	1	
Sara Kiesler	3.5	1	Human Factors
Scott Hudson	1.0	1	Terrible teacher
Fred Gilman	5.0	1	
